#	u	v	w	ant1	ant2	distance	region	sector	flag
5161	355430.8917146623	127017.01562234489	393341.62398623896	96	105	1.58597763300294E11	12	0	false
5163	263520.4152251119	213641.54342190092	302590.4440433853	88	101	1.6072842739179935E11	12	0	false
5164	70737.78480108269	279697.9604604964	53309.50846383389	97	100	1.6146573237008716E11	12	1	false
5166	299336.63768555876	202634.77103098703	350288.8982086475	86	101	1.7172412352245657E11	12	0	false
5167	151137.6834593471	273667.8389538946	139523.93546583236	102	105	1.7263077151684744E11	12	1	false
5168	206991.90283792466	257349.00587540655	227801.9297859888	94	101	1.7530266949058496E11	12	1	false
5170	298167.46140494663	-208349.92590889035	373315.9364987329	86	103	1.7572321829315054E11	12	7	false
5172	140245.77795898076	-279805.1287263971	177667.83269307605	97	103	1.7625069835851108E11	12	6	false
5173	-194593.94557058904	-268370.6633599779	-252922.2909336941	108	109	1.8191242955727856E11	12	5	false
5174	37989.31851554569	-301170.943310096	65866.17368544772	96	99	1.828510625098617E11	12	6	false
5176	413163.3774917759	85080.99286283547	471056.98216808913	95	105	1.8518152719346344E11	12	0	false
5177	316804.35584336147	207708.24985358474	338323.9061784955	97	105	1.866504339958056E11	12	0	false
5179	287306.7941933144	237469.7653432031	332283.42439132795	83	101	1.9532897289395142E11	12	0	false
5182	297553.6267399499	238074.73796023778	345768.13107630116	82	101	2.0189732249576923E11	12	0	false
5183	225988.10877877753	-275700.8965001899	233970.9543858579	104	108	2.0309259397142548E11	12	6	false
5187	291041.6770325387	256667.46768073543	336168.8377312369	79	101	2.164616357011953E11	12	0	false
5188	466124.56161761563	20560.683596099698	508621.9987589655	97	106	2.181175903630922E11	12	0	false
5192	422101.3668234311	-159228.02184706405	466243.22719820484	99	107	2.2887668975686697E11	13	7	false
5196	452770.23297881614	126867.37876883344	485280.82158949616	98	106	2.3719154746304074E11	13	0	false
5203	295160.12629385665	278283.6288963901	340552.6880240804	4	101	2.4200305637729297E11	13	0	false
5205	295218.7195003722	278444.2458789114	340622.7166922982	2	101	2.4221648846959082E11	13	0	false
5209	295224.61039292533	278549.45629025594	340625.6868584249	5	101	2.42337169780849E11	13	0	false
5211	295153.16131748725	278604.675897262	340528.8110783576	1	101	2.423565194993435E11	13	0	false
5215	295136.96714239847	278710.4784248539	340502.59445149323	3	101	2.4246489094163513E11	13	0	false
5217	295285.4633948738	278671.92875278665	340700.45501754666	0	101	2.4250959264192178E11	13	0	false
5262	95721.80429265928	-343106.9660696053	143581.53186729795	95	99	2.446074441480208E11	13	6	false
5271	94928.88758293167	-345657.54956080636	145490.46224882928	100	102	2.4796977683449554E11	13	6	false
5273	298292.66918346565	283049.88721704565	344477.4542468058	65	101	2.4921299379576105E11	13	0	false
5274	302142.5460145902	282709.17138877226	349590.25712832203	70	101	2.5113906928683118E11	13	0	false
5275	225638.90696258936	-321655.29903439654	282318.4979170421	65	104	2.5783717912908624E11	13	6	false
5277	134338.14061704837	-347356.18037603557	165642.97345622507	94	104	2.5935936811530383E11	13	6	false
5281	229488.7837937139	-321996.01486266986	287431.30079855834	70	104	2.6002796906199945E11	13	6	false
5322	504751.0974889165	-60130.550635140185	563639.7165667089	96	106	2.62005036655636E11	13	7	false
5323	222483.20492152218	-325994.7078265883	278343.6381217295	3	104	2.6204387553403745E11	13	6	false
5325	222631.70117399748	-326033.25749865547	278541.49868778297	0	104	2.6216024435799734E11	13	6	false
5331	222499.39909661096	-326100.5103541801	278369.85474859393	1	104	2.6218906830486652E11	13	6	false
5335	222570.84817204904	-326155.7299611862	278466.7305286612	5	104	2.6229290282905377E11	13	6	false
5336	255797.4770836616	-313748.14182561025	278291.712363246	102	107	2.623081422804129E11	14	6	false
5338	222564.9572794959	-326260.9403725307	278463.7603625345	2	104	2.6242756263436E11	14	6	false
5340	222506.36407298036	-326421.55735505203	278393.7316943167	4	104	2.626111482651728E11	14	6	false
5345	143548.84131595585	348828.04763929953	138865.13918133953	93	100	2.639682834828444E11	14	1	false
5350	142052.17159534805	351659.27729233645	143792.3385252863	99	101	2.6750731406649103E11	14	1	false
5354	55406.86337991711	-367218.922865228	69140.66090375753	98	104	2.7276939513019745E11	14	6	false
5360	325878.7836586349	300365.8123224968	330954.16606588947	103	106	2.866362240631381E11	14	0	false
5363	-126714.84867018182	-369518.78361223155	-150638.89061682433	107	108	2.891449157580335E11	14	5	false
5364	303450.027204562	314014.94502631854	314982.72900902614	98	105	2.8929269041021313E11	14	1	false
5365	218387.9148116624	-348037.7185707067	274009.88140147313	79	104	2.899537884315909E11	14	6	false
5366	395386.77681653295	-259137.27686439673	455312.49029513163	100	106	2.9063495980275684E11	14	7	false
5367	178872.3138302816	-360496.362957637	232685.5505008195	96	103	2.9191056006636755E11	14	6	false
5370	228659.46824704856	351153.16327800317	248957.61226949072	86	100	2.98902240579319E11	14	1	false
5371	192843.24578660168	362159.935668917	201259.15810422855	88	100	2.9950815545293994E11	14	1	false
5372	57383.4561622832	386004.6556332302	29968.3312943645	98	100	3.0129204938218604E11	14	1	false
5375	389615.41235823464	276838.33703238785	423879.53689600114	93	105	3.050790992487932E11	14	0	false
5376	538935.6181324888	89690.7707749028	594177.6294764711	93	106	3.065404692162401E11	14	0	false
5378	214653.0319724381	-367235.42090823903	270124.46806156426	83	104	3.1579963287426355E11	14	6	false
5379	408109.82082887646	-273401.0357531863	453750.50590643974	98	107	3.160498785588078E11	14	7	false
5382	224899.86451907363	-366630.44829120435	283609.17474653746	82	104	3.1941572028911664E11	14	6	false
5383	-44660.412149939686	-400268.41452201986	-31530.315683056368	106	107	3.224241597413456E11	15	5	false
5384	531701.5102159474	146730.12125802593	581783.1341419637	94	106	3.257659529347092E11	15	0	false
5387	466761.7789733708	241040.39267495583	497773.5428812612	99	106	3.340675001121797E11	15	0	false
5388	562483.5832660301	-102066.57339464955	641355.0747485592	95	106	3.3722295225284375E11	15	7	false
5389	-1169.176280612126	-410984.69693987747	23027.038290085446	101	103	3.378182092107011E11	15	5	false
5390	-294258.6672743228	-356128.8848886737	-331787.0970725409	111	112	3.4024372857016113E11	15	5	false
5391	-96905.48036529776	-407566.0289376519	-106318.13263943625	102	104	3.4161080801284296E11	15	5	false
5392	190866.6530042356	-391063.64282954123	240431.48771362158	88	104	3.4229162471526135E11	15	6	false
