#	u	v	w	ant1	ant2
112	-27448.94825415965	5317.424392042856	-5437.322406046765	15	7
113	-23333.63095540926	6337.949454400747	-6407.557378949218	15	8
114	-18087.45188668929	4922.050726390688	-5147.148204198609	15	9
115	-12619.433173086494	1620.9931095183629	-1572.881883623882	15	10
116	-36696.76283991989	16027.190063544556	-16693.14986419785	15	11
117	-28971.510606399737	18116.217919135306	-18304.12566455007	15	12
118	-19131.382880497724	15394.225508136298	-15991.672550567906	15	13
119	-8884.550333862193	9037.568319035656	-9468.595671729978	15	14
120	22585.156327369623	-47679.97326064185	47295.20752620381	16	0
121	15661.32981315162	-45209.21740020351	45063.348460479116	16	1
122	15676.560420624912	-42623.337627872905	42543.99309255858	16	2
123	16885.984507774003	-41007.913638448576	40782.45879799683	16	3
124	19079.737812040374	-40286.116864324475	40437.41797974926	16	4
125	21877.537534616888	-41168.06604085478	40980.54092806916	16	5
126	9663.173726341687	-38386.78200072024	38027.636545184556	16	6
127	11932.683714129962	-35159.5708050776	34931.83893970602	16	7
128	16048.001012880355	-34139.04574271971	33961.60396680356	16	8
129	21294.180081600323	-35554.944470729766	35222.01314155418	16	9
130	26762.19879520312	-38856.00208760209	38796.27946212889	16	10
131	2684.8691283697262	-24449.8051335759	23676.011481554928	16	11
132	10410.121361889876	-22360.777277985148	22065.03568120271	16	12
133	20250.24908779189	-25082.769688984157	24377.488795184872	16	13
134	30497.08163442742	-31439.4268780848	30900.5656740228	16	14
135	39381.631968289614	-40476.99519712046	40369.16134575278	16	15
136	4117.918185186572	-42845.82324949639	42629.83311477723	17	0
137	-2805.90832903143	-40375.067389058044	40397.97404905253	17	1
138	-2790.6777215581387	-37789.187616727446	37878.61868113199	17	2
139	-1581.2536344090477	-36173.76362730311	36117.08438657024	17	3
140	612.4996698573232	-35451.96685317901	35772.043568322675	17	4
141	3410.299392433837	-36333.91602970931	36315.16651664258	17	5
142	-8804.064415841363	-33552.63198957477	33362.262133757984	17	6
143	-6534.5544280530885	-30325.42079393214	30266.46452827943	17	7
144	-2419.2371293026954	-29304.895731574245	29296.22955537698	17	8
145	2826.941939417273	-30720.794459584307	30556.638730127586	17	9
146	8294.960653020069	-34021.852076456635	34130.90505070231	17	10
147	-15782.369013813324	-19615.65512243044	19010.63707012834	17	11
148	-8057.116780293175	-17526.627266839685	17399.661269776127	17	12
149	1783.0109456088394	-20248.619677838695	19712.11438375829	17	13
150	12029.84349224437	-26605.276866939334	26235.19126259622	17	14
151	20914.393826106563	-35642.845185975	35703.78693432619	17	15
152	-18467.23814218305	4834.150011145463	-4665.374411426583	17	16
153	-15079.943661041558	-30882.007329894946	30478.465561359302	18	0
154	-22003.77017525956	-28411.251469456605	28246.606495634598	18	1
155	-21988.53956778627	-25825.371697126004	25727.251127714066	18	2
156	-20779.115480637178	-24209.94770770167	23965.71683315231	18	3
157	-18585.362176370807	-23488.150933577566	23620.676014904748	18	4
158	-15787.562453794293	-24370.100110107873	24163.79896322465	18	5
159	-28001.926262069494	-21588.816069973334	21210.894580340046	18	6
160	-25732.41627428122	-18361.604874330696	18115.0969748615	18	7
161	-21617.098975530826	-17341.079811972806	17144.86200195905	18	8
162	-16370.919906810857	-18756.978539982865	18405.271176709655	18	9
163	-10902.901193208061	-22058.03615685519	21979.537497284382	18	10
164	-34980.230860041454	-7651.839202828996	6859.269516710413	18	11
165	-27254.978626521304	-5562.8113472382465	5248.293716358196	18	12
166	-17414.85090061929	-8284.803758237254	7560.746830340358	18	13
167	-7168.01835398376	-14641.460947337897	14083.823709178287	18	14
168	1716.531979878433	-23679.029266373553	23552.419380908268	18	15
169	-37665.09998841118	16797.9659307469	-16816.741964844514	18	16
170	-19197.86184622813	11963.81591960144	-12151.367553417931	18	17
171	-31698.304275260307	-13250.461281011758	13519.96852708579	19	0
172	-38622.13078947831	-10779.705420573417	11288.109461361088	19	1
173	-38606.90018200502	-8193.825648242811	8768.754093440557	19	2
174	-37397.47609485593	-6578.40165881848	7007.219798878804	19	3
