#	u	v	w	ant1	ant2	distance	region	sector	flag
6402	1790547.4974961602	-939237.0217229117	1559423.3593315268	3	113	4.970392706739613E12	66	7	false
6408	1790563.691671249	-939342.8242505034	1559449.575958391	1	113	4.970848216873196E12	66	7	false
6409	1790820.6158105307	-939112.1829817079	1559778.3466436705	13	113	4.970901862461346E12	66	7	false
6412	1790539.7474762169	-939399.9621936746	1559420.567587311	10	113	4.970977165231149E12	67	7	false
6413	1790667.4140799255	-939290.3373081192	1559584.1514054579	9	113	4.971022463368488E12	67	7	false
6414	1790695.9937486355	-939275.5713949789	1559621.21989758	0	113	4.971069340066142E12	67	7	false
6416	1790644.548676792	-939368.9308442599	1559557.5454777947	7	113	4.971235876176889E12	67	7	false
6417	1790635.140746687	-939398.0438575096	1559546.4517384584	5	113	4.971311576883539E12	67	7	false
6418	1791465.579560516	-938622.3594501262	1560607.9858473735	48	113	4.971372790069539E12	67	7	false
6419	1790661.1574536408	-939444.6131333578	1559582.9376774372	8	113	4.971579743103782E12	67	7	false
6420	1790629.249854134	-939503.2542688539	1559543.4815723314	2	113	4.971685839996713E12	67	7	false
6422	1790570.6566476184	-939663.8712513754	1559473.4529041138	4	113	4.972079658317727E12	67	7	false
6425	1790719.6115133814	-939711.4578236595	1559672.3405918228	16	113	4.9727919749887705E12	67	7	false
6430	1794333.2339878376	-937137.3516075562	1564332.2180557852	66	113	4.976084586149301E12	67	7	false
6431	1791886.5805268637	-939773.6521927479	1561216.8352703834	59	113	4.977206552183648E12	67	7	false
6432	1792609.8564515063	-939546.3232308339	1562162.410425284	63	113	4.978944684440247E12	67	7	false
6433	1747728.815186218	-981000.6577446803	1505628.649274053	89	113	4.979280592423213E12	67	7	false
6434	1797553.076368352	-935238.3287589932	1568511.0220083555	70	113	4.980538525521156E12	67	7	false
6435	1792265.952319425	-940900.6784151006	1561770.0281033593	64	113	4.982805417127449E12	67	7	false
6436	1794325.128752654	-939752.6972824906	1564440.5086076842	67	113	4.985872931772661E12	67	7	false
6437	1793680.2923005144	-942291.2284267301	1563704.591167589	68	113	4.993114509327172E12	67	7	false
6438	1709636.5411082278	-1017637.8447554819	1459117.1900005296	93	113	4.99403066884967E12	67	7	false
